"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Newfoundland and Labrador","2016A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","228","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","546","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","460","","","","0"
"2009","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1860","","","","0"
"2010","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1876","","","","0"
"2011","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","2066","","","","0"
"2012","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1907","","","","0"
"2013","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1595","","","","0"
"2014","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1570","","","","0"
"2015","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1511","","","","0"
"2016","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1614","","","","0"
"2017","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1671","","","","0"
"2018","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1667","","","","0"
"2019","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1707","","","","0"
"2020","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1700","","","","0"
"2009","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","823","","","","0"
"2010","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","898","","","","0"
"2011","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","973","","","","0"
"2012","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","922","","","","0"
"2013","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","744","","","","0"
"2014","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","786","","","","0"
"2015","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","793","","","","0"
"2016","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","830","","","","0"
"2017","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","819","","","","0"
"2018","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","844","","","","0"
"2019","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","866","","","","0"
"2020","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","914","","","","0"
"2009","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","1037","","","","0"
"2010","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","978","","","","0"
"2011","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","1093","","","","0"
"2012","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","984","","","","0"
"2013","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","851","","","","0"
"2014","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","784","","","","0"
"2015","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","718","","","","0"
"2016","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","784","","","","0"
"2017","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","851","","","","0"
"2018","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","822","","","","0"
"2019","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","841","","","","0"
"2020","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","786","","","","0"
"2009","Prince Edward Island","2016A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1808","","","","0"
