station,year,swe,lat,lon,ele,z
1C05,1981,486,50.68333333,-122.6166667,1715,-0.68257724
1C05,1982,572,50.68333333,-122.6166667,1715,-0.160126382
1C05,1983,544,50.68333333,-122.6166667,1715,-0.330226661
1C05,1984,328,50.68333333,-122.6166667,1715,-1.642428815
1C05,1985,436,50.68333333,-122.6166667,1715,-0.986327738
1C05,1986,668,50.68333333,-122.6166667,1715,0.423074575
1C05,1987,664,50.68333333,-122.6166667,1715,0.398774535
1C05,1988,518,50.68333333,-122.6166667,1715,-0.488176921
1C05,1989,624,50.68333333,-122.6166667,1715,0.155774136
1C05,1990,506,50.68333333,-122.6166667,1715,-0.56107704
1C05,1991,900,50.68333333,-122.6166667,1715,1.832476888
1C05,1992,684,50.68333333,-122.6166667,1715,0.520274734
1C05,1993,322,50.68333333,-122.6166667,1715,-1.678878875
1C05,1994,608,50.68333333,-122.6166667,1715,0.058573977
1C05,1995,684,50.68333333,-122.6166667,1715,0.520274734
1C05,1996,571,50.68333333,-122.6166667,1715,-0.166201392
1C05,1997,762,50.68333333,-122.6166667,1715,0.994125512
1C05,1998,568,50.68333333,-122.6166667,1715,-0.184426422
1C05,1999,964,50.68333333,-122.6166667,1715,2.221277526
1C05,2000,553,50.68333333,-122.6166667,1715,-0.275551572
1C05,2001,417,50.68333333,-122.6166667,1715,-1.101752927
1C05,2002,630,50.68333333,-122.6166667,1715,0.192224196
1C05,2003,539,50.68333333,-122.6166667,1715,-0.360601711
1C05,2004,413,50.68333333,-122.6166667,1715,-1.126052967
1C05,2005,451,50.68333333,-122.6166667,1715,-0.895202588
1C05,2006,562,50.68333333,-122.6166667,1715,-0.220876482
1C05,2007,805,50.68333333,-122.6166667,1715,1.255350941
1C05,2008,480,50.68333333,-122.6166667,1715,-0.719027299
1C05,2009,349,50.68333333,-122.6166667,1715,-1.514853605
1C05,2011,625,50.68333333,-122.6166667,1715,0.161849146
1C05,2012,793,50.68333333,-122.6166667,1715,1.182450821
1C05,2013,462,50.68333333,-122.6166667,1715,-0.828377479
1C05,2014,391,50.68333333,-122.6166667,1715,-1.259703187
1C05,2015,381,50.68333333,-122.6166667,1715,-1.320453286
1C05,2016,544,50.68333333,-122.6166667,1715,-0.330226661
1C05,2017,566,50.68333333,-122.6166667,1715,-0.196576442
1C05,2018,513,50.68333333,-122.6166667,1715,-0.51855197
1C05,2019,428,50.68333333,-122.6166667,1715,-1.034927818
1C05,2021,511,50.68333333,-122.6166667,1715,-0.53070199
1C06,1955,97,50.9,-121.8166667,1209,1.199687163
1C06,1956,147,50.9,-121.8166667,1209,2.339932052
1C06,1957,79,50.9,-121.8166667,1209,0.789199003
1C06,1958,81,50.9,-121.8166667,1209,0.834808799
1C06,1959,36,50.9,-121.8166667,1209,-0.191411601
1C06,1960,53,50.9,-121.8166667,1209,0.196271661
1C06,1961,76,50.9,-121.8166667,1209,0.72078431
1C06,1962,130,50.9,-121.8166667,1209,1.95224879
1C06,1963,25,50.9,-121.8166667,1209,-0.442265476
1C06,1964,117,50.9,-121.8166667,1209,1.655785119
1C06,1965,86,50.9,-121.8166667,1209,0.948833288
1C06,1966,69,50.9,-121.8166667,1209,0.561150026
